review_id,customer_id,product_id,order_id,rating,review_text,review_date
1,9570,95,3,4,As expected,2026-02-01
2,374,276,4,5,Packaging was good,2023-10-22
3,1987,102,5,1,Excellent product,2025-12-26
4,327,82,6,2,Fast shipping,2024-10-28
5,9257,170,7,5,As expected,2024-08-12
6,4025,404,9,5,Great value,2025-02-23
7,5716,247,11,5,Quality could be better,2024-11-06
8,1240,314,25,4,As expected,2023-07-07
9,1240,265,25,3,As expected,2023-07-26
10,1240,284,25,4,As expected,2023-08-15
11,2096,120,29,4,As expected,2024-01-28
12,2096,358,29,1,Quality could be better,2024-02-26
13,6375,363,31,4,As expected,2023-03-05
14,6745,76,38,4,As expected,2025-09-29
15,8848,284,39,5,Would buy again,2025-11-29
16,8848,135,39,5,Not worth the price,2025-11-04
17,7007,472,43,5,Not worth the price,2023-03-31
18,160,16,45,5,Not worth the price,2024-11-10
19,7336,317,48,5,Fast shipping,2024-10-19
20,2271,154,52,4,Would buy again,2024-02-27
21,2271,48,52,5,As expected,2024-02-16
22,2229,381,54,5,Packaging was good,2025-06-07
23,2538,354,57,4,Would buy again,2023-12-19
24,2538,478,57,4,Great value,2023-11-15
25,2430,451,61,5,Quality could be better,2025-10-11
26,8243,109,66,5,Not worth the price,2023-11-09
27,5315,18,67,4,Great value,2025-11-07
28,8407,490,74,5,Great value,2024-05-21
29,3839,453,80,4,Great value,2025-08-26
30,5974,229,81,2,Would buy again,2023-11-14
31,5974,484,81,4,Packaging was good,2023-11-27
32,5534,160,83,5,Not worth the price,2024-07-15
33,2367,329,85,1,Quality could be better,2026-01-24
34,7242,268,90,4,Excellent product,2024-10-17
35,702,158,96,5,Not worth the price,2024-01-05
36,6710,320,99,5,Not worth the price,2025-11-19
37,5342,353,101,4,Fast shipping,2023-05-12
38,2959,300,102,5,As expected,2023-04-22
39,7662,213,106,4,Fast shipping,2025-10-22
40,6305,86,107,5,Packaging was good,2025-03-12
41,9954,299,111,5,As expected,2024-02-14
42,7180,389,114,5,Excellent product,2023-06-14
43,7180,321,114,5,Great value,2023-07-01
44,8695,226,121,3,Packaging was good,2024-03-18
45,7361,219,123,4,Excellent product,2025-10-26
46,7361,290,123,3,Would buy again,2025-11-21
47,2489,197,124,2,Great value,2024-01-17
48,2074,73,125,4,Packaging was good,2024-09-13
49,9708,106,126,2,Excellent product,2024-10-15
50,2251,90,135,3,Would buy again,2025-01-18
51,4697,91,138,4,Quality could be better,2024-01-24
52,6309,156,141,5,Quality could be better,2023-09-19
53,1652,68,144,4,Great value,2024-01-04
54,5185,337,145,2,Great value,2025-12-23
55,5185,344,145,5,Great value,2025-12-27
56,8179,420,147,2,Would buy again,2024-01-11
57,5607,362,153,3,As expected,2024-04-17
58,343,21,164,4,Great value,2023-12-21
59,7681,29,166,5,Packaging was good,2024-02-05
60,6690,110,170,5,Would buy again,2025-06-29
61,677,26,172,2,Not worth the price,2023-10-11
62,930,145,180,5,Great value,2024-02-23
63,9270,254,192,1,Excellent product,2023-05-12
64,2248,73,193,3,Would buy again,2023-05-29
65,2032,270,199,5,Excellent product,2024-03-18
66,2032,481,199,5,Packaging was good,2024-03-10
67,7688,448,201,2,Great value,2025-11-23
68,957,383,204,5,Would buy again,2024-06-03
69,729,455,205,5,Great value,2024-04-17
70,729,462,205,4,Would buy again,2024-04-17
71,9033,221,206,4,Would buy again,2025-05-15
72,7655,104,210,1,Packaging was good,2024-10-20
73,3014,479,212,3,Packaging was good,2025-04-12
74,3014,73,212,5,As expected,2025-04-10
75,4277,135,215,3,Excellent product,2025-12-17
76,9902,84,218,1,Would buy again,2025-03-09
77,9902,13,218,5,Excellent product,2025-04-03
78,7596,370,219,5,Great value,2024-08-06
79,7596,480,219,4,As expected,2024-07-05
80,4088,370,220,4,Quality could be better,2023-01-18
81,2638,192,223,5,Not worth the price,2024-10-27
82,7652,36,225,2,Quality could be better,2024-11-06
83,1078,227,226,4,Would buy again,2023-08-19
84,3068,317,227,4,Would buy again,2025-08-03
85,4805,312,228,5,Quality could be better,2023-11-21
86,2142,136,236,3,Would buy again,2024-02-03
87,2142,362,236,4,Not worth the price,2024-01-20
88,5425,490,241,4,Quality could be better,2023-11-07
89,1971,421,243,5,Not worth the price,2024-08-19
90,7388,393,247,4,Would buy again,2024-10-26
91,3103,319,256,5,Not worth the price,2025-06-12
92,6043,401,264,5,Quality could be better,2023-05-05
93,3212,92,265,4,Great value,2025-08-12
94,2481,36,267,5,Excellent product,2023-03-05
95,3653,92,271,5,Would buy again,2023-11-22
96,3653,286,271,5,Quality could be better,2023-11-12
97,9275,185,274,3,Packaging was good,2024-01-31
98,5981,253,279,5,As expected,2024-10-20
99,8414,489,283,4,As expected,2024-03-25
100,4495,417,288,5,Not worth the price,2023-05-27
101,2249,56,289,4,Would buy again,2024-10-08
102,5423,19,290,5,Fast shipping,2023-11-04
103,3349,135,297,3,As expected,2024-02-27
104,9587,183,298,5,Packaging was good,2025-06-04
105,757,415,299,5,Quality could be better,2025-09-26
106,9138,456,300,5,Quality could be better,2025-06-17
107,9138,53,300,5,Would buy again,2025-07-10
108,8459,132,305,4,Excellent product,2025-11-08
109,7990,364,309,3,Fast shipping,2026-01-03
110,7990,348,309,4,Quality could be better,2026-01-05
111,7990,351,309,4,Great value,2026-01-01
112,3193,297,311,5,Would buy again,2024-12-14
113,3830,353,317,5,Not worth the price,2025-11-08
114,5715,285,320,5,Fast shipping,2025-12-05
115,5715,451,320,5,Great value,2025-11-01
116,404,463,325,5,Fast shipping,2023-02-24
117,404,339,325,5,Would buy again,2023-03-22
118,4464,276,327,4,Not worth the price,2023-05-27
119,4464,315,327,4,Not worth the price,2023-06-12
120,4464,151,327,5,Fast shipping,2023-05-28
121,2776,291,328,3,As expected,2025-12-24
122,2776,248,328,2,Great value,2025-11-17
123,2776,153,328,3,Not worth the price,2025-12-13
124,2786,481,329,3,Not worth the price,2023-05-04
125,7040,483,331,5,Packaging was good,2024-01-25
126,7461,181,332,5,Excellent product,2025-04-06
127,4580,346,334,2,Packaging was good,2025-03-08
128,4580,333,334,5,As expected,2025-04-23
129,4580,429,334,2,Would buy again,2025-04-13
130,4580,86,334,4,Not worth the price,2025-03-19
131,7199,294,335,5,Not worth the price,2024-10-05
132,2049,167,338,5,Would buy again,2023-10-18
133,2277,289,340,4,Packaging was good,2025-09-20
134,133,223,343,3,Great value,2023-12-20
135,6849,249,344,5,As expected,2023-08-30
136,1174,78,351,5,Excellent product,2025-05-01
137,1174,470,351,4,Not worth the price,2025-03-16
138,3242,118,355,4,Not worth the price,2023-11-01
139,8282,61,357,2,Great value,2023-01-07
140,8282,435,357,5,Fast shipping,2023-01-15
141,7948,262,363,5,Excellent product,2025-01-03
142,8301,482,368,5,Packaging was good,2023-10-31
143,8301,106,368,5,Fast shipping,2023-09-29
144,8314,34,369,4,Fast shipping,2023-11-12
145,5152,75,370,4,Not worth the price,2023-07-21
146,5152,117,370,4,Not worth the price,2023-07-07
147,4011,59,374,5,Would buy again,2024-04-27
148,1197,90,380,4,Packaging was good,2025-02-02
149,561,40,384,4,Fast shipping,2025-06-28
150,561,383,384,5,Packaging was good,2025-07-13
151,5889,312,395,4,Quality could be better,2026-01-12
152,5889,238,395,5,Packaging was good,2025-12-22
153,487,2,398,3,Excellent product,2023-05-15
154,487,215,398,5,As expected,2023-06-10
155,5614,209,406,5,Great value,2023-09-12
156,9980,50,409,5,As expected,2025-02-19
157,4430,249,422,3,Fast shipping,2025-06-14
158,4430,160,422,2,Packaging was good,2025-06-16
159,1680,4,430,3,Not worth the price,2023-09-03
160,5790,84,432,1,Fast shipping,2024-06-09
161,6087,468,434,2,Quality could be better,2023-05-27
162,9886,249,437,5,Excellent product,2023-10-10
163,830,137,438,3,Fast shipping,2024-08-31
164,7330,220,439,4,Would buy again,2023-10-10
165,3656,160,453,4,Packaging was good,2023-11-26
166,3552,201,454,4,As expected,2024-01-06
167,57,213,458,5,As expected,2023-01-31
168,5351,227,459,5,Quality could be better,2025-06-07
169,8929,159,463,4,Great value,2024-02-13
170,163,275,464,5,Fast shipping,2024-04-27
171,9400,499,472,3,Great value,2026-01-21
172,814,442,473,2,As expected,2025-02-07
173,8047,13,479,4,Not worth the price,2024-06-04
174,1648,202,483,5,Excellent product,2023-04-09
175,1648,448,483,4,Fast shipping,2023-03-17
176,9428,420,484,5,Great value,2024-11-02
177,2849,138,495,5,Fast shipping,2024-01-29
178,4605,447,496,3,Packaging was good,2025-06-23
179,1847,288,497,5,Packaging was good,2024-08-22
180,4416,237,499,4,Fast shipping,2024-07-01
181,7969,471,502,5,Quality could be better,2025-12-17
182,3603,16,503,4,Packaging was good,2025-03-04
183,3603,103,503,4,Quality could be better,2025-01-26
184,3603,206,503,5,Quality could be better,2025-02-01
185,3603,408,503,5,Would buy again,2025-02-10
186,8224,43,504,5,Fast shipping,2024-07-09
187,5324,262,507,5,As expected,2023-07-19
188,5324,128,507,5,Great value,2023-08-16
189,1030,290,510,4,Fast shipping,2025-11-15
190,1430,22,516,4,Excellent product,2024-03-16
191,4207,497,521,5,Excellent product,2025-06-14
192,7768,494,525,3,Packaging was good,2025-08-22
193,7923,211,532,5,Not worth the price,2023-06-21
194,8473,85,538,3,Excellent product,2024-04-26
195,9028,103,542,4,Great value,2025-02-22
196,9569,107,551,4,As expected,2024-03-30
197,9979,195,553,4,Would buy again,2023-10-10
198,5073,447,557,4,Great value,2024-06-29
199,9658,365,561,2,Packaging was good,2023-06-21
200,6301,415,562,4,As expected,2024-11-05
201,4257,246,565,4,Not worth the price,2025-02-22
202,7827,167,570,4,Fast shipping,2023-03-07
203,7827,374,570,4,As expected,2023-03-18
204,5694,403,576,5,Would buy again,2024-01-30
205,5976,232,578,4,Would buy again,2024-01-20
206,3834,170,586,5,Not worth the price,2025-01-07
207,3778,180,588,5,Excellent product,2025-12-29
208,1045,488,592,5,Excellent product,2023-08-06
209,1484,252,594,5,As expected,2024-02-28
210,9117,348,601,3,As expected,2023-12-24
211,9117,254,601,2,Great value,2023-12-21
212,3954,155,602,5,As expected,2023-12-14
213,7202,446,604,4,Excellent product,2024-05-05
214,6360,302,610,5,As expected,2023-05-04
215,6664,455,612,1,Not worth the price,2023-11-28
216,1373,120,614,4,Great value,2023-12-06
217,2702,17,621,1,Not worth the price,2024-10-04
218,8432,279,624,4,Excellent product,2024-08-14
219,6419,132,628,5,Quality could be better,2024-03-21
220,1251,297,633,5,Excellent product,2023-10-03
